에너지자원공학실습,박형동,23,Fall,5.0,"엄청난 꿀강
박형동 그는 신인가?
신 그는 형동인가?
👍👍"
에너지환경기술경영,허은녕,18,Fall,3.0,"총평: 에너지자원공학과 전필수업입니다. 가끔 타과에서 들으러 오시는데 도망가시길 바랍니다.  나쁜 수업은 아니지만 그렇다고 꼭 들을 필요는 없는 수업입니다. 참고로 오전 9시 30분 수업입니다.
과제는 거의 매주 나옵니다. 7-8회 정도
시험은 중간 기말 총 2번
출석은 정확히 9시 30분에 부릅니다. 지각이 없는 수업으로 30분보다 늦게 도착하면 결석입니다.
그러나 과제와 시험, 출석은 아무것도 아닙니다. 가장 중요한 것은 바로 팀플입니다. 중간 발표, 기말 발표 총 2회의 발표가 있습니다. 거의 매주 과제, 시험 2번, 1교시 수업, 팀플 2번 이렇게 쓰고 보니 정말 trash같군요. 강의를 수강하시려고 강의평을 찾아보시는 것이겠죠? 에너지자원공학과 및 그 외 전공필수 수강생 분들이라면 받아들이시고 전필이 아니라면 어서 도망치세요!"
에너지재료 및 소자,남기태,23,Fall,4.0,"교수님께서는 전기화학 이론을 이미 꿰뚫고 계시니 학생들이 처음 전기화학을 접할때 어느 부분이 이해가 안되는지를 알고 계시지 못하는 느낌이었습니다. 덕분에 처음 전기화학 이론을 배우면서 거의 독학을 하였는데, 시험 문제는 교수님께서 이론보다는 기타로 설명하신 곳에서 거의 출제되어 어느 정도 전기화학 기초가 되어 있는 분이 수강하면 성적을 잘 받으실 것 같습니다."
에너지재료 및 소자,남기태,23,Fall,3.0,"유기반도체를 연구하시는 분의 수업이라 이와 관련된 내용을 디스플레이와 연관지어 많이 알 수 있었습니다. 
중간고사는 디스플레이 내용을 많이 포함하는 내용에 대해 시험으로 이루어지고, 기말은 팀플로 논문 리뷰 발표(영어)로 이루어집니다. 
디스플레이에 대한 흥미로운 내용과 유기반도체에 대해 알 수 있어서 좋았습니다.
다만 중간고사 클레임이 불가하고, 기말 팀플 조&주제 공개 등 전반적인 일정이 발표 기한에 촉박하게 진행되어 기말 기간에 로드가 많다고 느껴졌습니다."
에너지재료 및 소자,남기태,23,Fall,5.0,"수업 안 듣고 족보만 봤는데 에쁠
갓맙다 갓맙다 갓맙다"
에너지재료 및 소자,남기태,23,Fall,5.0,"생각보다 얻어가는것이 많았음
성적도 너그러움"
에너지재료 및 소자,남기태,23,Fall,5.0,"열리기만 한다면 당연히 들어야하는 강의. 아쉬운 점은 이번 학기 강의를 마지막으로 다른 교수님이 맡으실 예정이라는 점. 언젠가 열린다면 꼭 들으셈.

평소 수업 잘 나와서 듣고, 이틀 공부하면 에쁠.
수업 안 듣고, 족보랑 피피티만 이틀 공부하면 에제.
뭐든 타당하게 쓰기만해도 점수랑 학점 후하게 줌."
에너지재료 및 소자,남기태,22,Fall,4.0,"후반부는 넓은 범위의 전지 등을 다뤄서 개념을 익히기에 좋았으나 전반부 전기화학은;; 바드 책이 전기화학 바이블이긴 하지만 1단원에 뒤에서 모든 내용을 넣어놔서 처음보면 이해가 굉장히 어려운데 이걸 인지하고 계심에도 바드책 순서로 진도를 빼서 힘들었음.. 전기화학 개념이 있어서 다행이지 이 강의로 처음 접했다면 매우 아찔했을듯...
하지만 학점 잘주니고 어차피 다 처음이면 상관없으니까... 학점따려면 추천"
에너지재료 및 소자,남기태,22,Fall,5.0,강의자료 외에 다른 자료를 매우 많이 설명하시는데 시험 범위는 아니라서 재밌게 들었으나 수업의 전체 흐름을 이해하기는 오히려 어려운 듯. 수식유도보다는 직관을 전해주고 싶다고 하셨는데 그런 부분에서 확실히 도움이 됐으나 ppt자료와는 조금 동떨어진 경우가 있었음. 이번 학기는 수업이 영상으로 대체되는 경우가 많았는데 공지가 홈페이지나 메일 통해서만 당일 늦게 오는 경우가 잦았음. 성적을 매우 후하게 주셔서 모든 것이 미화됨.
에너지재료 및 소자,남기태,22,Fall,4.0,"수업을 난해하다고 표현하는거 보단, 그냥 교수님 강의력이 재앙임.. 중간고사 내용까지는 전기화학에 대한 기초를 주로 다루는데, 교수님 특성상 기초는 머릿속에 이미 있어 설명을 하기 힘들어 하심.. 너무 똑똑하셔서 문제인 것 같음. 모든 개념을 설명 80% 적용 20%가 아닌 설명 20% 적용 80%로 하시니 뭔 말하는지 하나도 모르겠음. 듣다가 화날뻔한 적 다수 // 그래도 학점은 역시 엄청나게 잘 주심. 절대평가니까 대충 평균 근처에서 꾸덕이기만 하면 에제 나옴"
에너지재료 및 소자,남기태,21,Fall,4.0,강의자료가 왜 존재하는지 알 수 없을 정도로 다른 이야기를 주저리주저리 하심. 더 큰 문제는 이 다른 이야기에서 대부분의 시험문제가 출제된다는 점임. 이론 파트 빡세게 공부해갔는데 시험에서 한문제도 없었을 정도로 얕고 넓게 공부해가는게 좋음. 시험문제는 많이 알려주시고 학점도 굉장히 후하게 주셔서 시험 부담은 적은 편임.
에너지재료 및 소자,남기태,21,Fall,2.0,이번에는 에쁠은 그렇게 후하진 않았는데 에제는 매우 후하게 주심. 같은 한국말이라고 믿기 힘들 정도로 강의 내용이 잘 이해 안되며 강의 듣는게 매우 고통스러웠음. 후반부에 전지 관련 내용은 나름 강의력이 좋았던 걸로 보아 본인이 좋아하거나 잘 아시는 내용이면 설명을 잘하시게 되는듯 함. 재바입 에재소 둘 중 하나만 추천한다면 닥전
에너지재료 및 소자,남기태,20,Fall,5.0,"수업내용자체가 굉장히 난해함. 중간고사 범위까지의 수업자료나 수업을 보다보면 이게 왜 재료 전선인가 싶을정도임. 전자기학의 지엽적인부분 다끌고와서ㅇㅇ 근데 수업 듣고 이해 안돼도 일단 필기하고 그걸 시험에 써서내면 그저 갓기태라는 말이 자동으로 나옴. 기말은 대부분 전지 내용이라 쉽고 재밌음.
하지만 교수님 수업스타일상 대면수업땐 고통스러울거임 비대면 쉅 들은 애들꺼 녹본 받아서 공부하셈; 두어번은 돌려봐야 말이 이해될거임 내용이 아니라 말ㅇㅇ
평균보다 적당히 높게 셤치면 에플
평평 = 에제
평평아래 = 에마
임 난 재바입 에재 둘다 에플 헌터해서 그냥 갓기태 찬양중"
전기화학에너지공학,성영은,23,Spring,5.0,"교수님 인품이 정말 좋으십니다 
자세히 잘 가르쳐주셔서 전기화학 비전공자도 이해하기 쉬웠어요
과제도 매번 답안지를 올려주시고 중간 기말 기출도 올려주셔서 시험대비하기도 정말 수월했답니다"
시스템에너지전달공학,김응수,19,Fall,5.0,쥔쥔바뤼~! 쥔쥔봐뤼~!!! 쨔자자짠쟈쟝~ 쨔자자짠쟈쟝~%%
시스템에너지전달공학,김응수,19,Fall,5.0,"응랩이 인기있는 이유가 있다. 갓응수.
얼마나 더 써야 올라가니"
신재생에너지,박형동,22,Winter,5.0,"교수님과 조교님들께서 아두이노/앱인벤터 실습, 풍황/태양광 실습 등등, 이론수업과 더불어 수강생들이 재미있게 수업 참여할 수 있도록 노력하십니다. 이론 측면에서 이과생들에게는 쉬운 내용일 수 있습니다. 다만 수업 집중해서 들으신다면 분명 얻어가시는 게 있을 거라고 생각합니다. 시험은 계산 문제와 개념 문제가 출제되는데, 계산은 식과 상수를 모두 제공하여 평이합니다. 개념은 ppt 꼼꼼하게 암기하시기 바랍니다."
신재생에너지,박형동,22,Winter,5.0,수업에 교수님이 말한 부분이 시험에 잘 나오는듯
신재생에너지,박형동,20,Spring,2.0,"강평보고 낚인 흑우 중 하나.
다른 전선을 듣자"
신재생에너지,박형동,20,Spring,3.0,대학을 다니면서 3학점은 이사람 수업으로 채우는건 어리석은 짓
신재생에너지,박형동,19,Spring,3.0,"그린 에코에코 하시려고 오는 타과분들이 있습니다. 도망치세요 이건 함정입니다. 다 듣고나면 아이언맨만이 기억속에 남아있을겁니다
 과제도 보통이고 수업도 쉽습니다 허나 차라리 다른 수업을 들읍시다."
최적에너지시스템설계,김민수,23,Spring,4.0,"Linear programming, dynamic programming 등 최적화 기법들 다룸. 예시로서 히트펌프, 냉동시스템 등을 다룸. 코딩으로 구현해보는 과제들 가끔 나옴. 수업자료 좋음. 
교수님이 강의력이 좋지만 잡담으로 샐 때가 많음."
에너지물리화학,Takuji Oda,23,Spring,5.0,"시험을 망치면 교수님께 죄송한 강의. 
강의와 자료모두 좋고, 질문하면 개떡같이 질문해도 최선을 다해 대답해주신다. 
절대 평가에 학점 컷은 깐깐해 성적은 날 못받았지만, 공부를 부족하게 한 나의 탓이다"
에너지물리화학,Takuji Oda,22,Spring,5.0,과제 3번. 출결은 시작하고 끝날 때 서명으로함. 수업 재밌고 좋았는데 시험은 좀 어려웠음.
에너지물리화학,Takuji Oda,21,Spring,5.0,"원자핵공학과에 화학관련 강좌가 많지는 않은데 교양으로 화학1이나 화학2를 재미있게 들으셨다면 수강하는것을 추천합니다.
해당강좌는 크게 열역학, 평형, 속도론을 다룹니다.
일단 영어로 강의를 하시는데 개인적으로 교수님 강의력은 꽤 좋다고 생각합니다.(앞의 강좌 강의가 여러 의미로 대단해서 그렇게 보이는 것일수도 있습니다.)
수업 자체는 ppt또는 책으로 커버가 가능합니다. 다만 binary phase diagram쪽은 책에 나오지 않으니 최소한 그쪽 부분은 열심히 듣는것을 추천합니다.
과제는 주로 교과서(맥러리 물리화학)에서 몇문제를 간추린 문제들과 그외의 문제들로 구성이 되어 있습니다. 
시험 같은 경우는 교수님께서 직접 예전 기출문제들과 그 솔루션을 공유해주셨고, 이번 시험 문제들 역시 과거 기출문제들의 형식을 크게 벗어나지는 않았습니다. 과거 기출문제 외에도 과제 문제들 중 일부 문제들이 그대로 시험에 나오므로 과제도 꼼꼼히 공부해보는 것을 추천합니다.
시험문제 중 계산오류가 있더라도 과정이 올바르다면 부분 점수를 상당히 후하게 주시는 편이라 풀이과정을 열심히 쓰는 것을 추천합니다.
시험을 치고 추가 과제로 시험 문제중에 틀린 문제들을 다시 풀어보고 왜 틀렸는지를 쓰라고 하시는데,  시험에서 깎인 점수의 30퍼센트를 추가로 받을 수 있습니다.
학점은 절대 평가로 주십니다. 90넘으면 A, 87넘으면 A- 이런식인데 좀 간격이 촘촘합니다. 다만 A+의 경우는 전체 인원의 10프로만 주시기 때문에 에이쁠은 한명이거나 없습니다.
종합적으로 듣기 좋았던 강좌 같았습니다."
